наименование,изготовитель,номер_свидетельства_и_дата,этикетка,происхождение,противопоказания,срок_годности,год_регистрации,количество_групп_компонентов,пищевые_вещества_витамины_витаминоподобные_вещества_и_коферменты,пищевые_вещества_макро_и_микроэлементы,пищевые_вещества_жиры_жироподобные_вещества_и_их_производные,пищевые_вещества_белки_пептиды_аминокислоты_нуклеиновые_кислоты,минорные_компоненты_растений_фенольные_соединения,минорные_компоненты_растений_алкалоиды,пробиотики_в_монокультурах_и_ассоциациях_пробиотические_микроорганизмы,пищевые_вещества_углеводы_и_продукты_их_переработки,минорные_компоненты_растений_сапонины,минорные_компоненты_растений_терпеноиды,минорные_компоненты_растений_естественные_метаболиты_и_стимуляторы_метаболизма,минорные_компоненты_растений_гидроксикоричные_кислоты,минорные_компоненты_растений_ферменты,минорные_компоненты_растений_дубильные_вещества,минеральные_и_минерало_органические_природные_субстанции_цеолиты_и_гуминовые_кислоты,система_органов_для_беременных_кормящих_и_планирующих_беременность,система_органов_костно_мышечная_система,система_органов_нервная_система,система_органов_иммунная_система,система_органов_пищеварительный_тракт_и_обмен_веществ,система_органов_мочеполовая_система,система_органов_дерматологические_бад,система_органов_органы_чувств,система_органов_сердечно_сосудистая_система,система_органов_противоопухолевые_бад,система_органов_противопаразитарные_бад,система_органов_дыхательная_система,система_органов_кровь_и_система_кроветворения,система_органов_противомикробные_бад,форма_выпуска,продолжительность_приема,происхождение_природное_синтетическое,сырье,группа_населения_предназначен_для_детей,группа_населения_возраст_детей,группа_населения_предназначен_для_взрослых,группа_населения_пол,группа_населения_пожилые,рекомендации_по_применению,количество_единиц_на_прием,количество_приемов_в_день,суммарное_количество_единиц_за_период,ингредиент_описание,ингредиент_кир,ингредиент_лат,биологически_активные_вещества,системы_органов,группа_населения
"биологически активная добавка к пище ""Укроп, семена"" фиточай"" (фильтр-пакеты по 1,0 г 1,5 г, 2,0 г, 2,5 г, россыпь по 10 - 500 г)","ООО ""Грин Сайд"", 656905, Алтайский край, г. Барнаул, проезд Южный, д. 9, стр. Н-1, офис 8 (адрес производства: 656905, Алтайский край, г. Барнаул, проезд Южный, д. 9) (Российская Федерация)",RU.77.99.88.003.Е.003776.08.18 от 29.08.2018,"Принимать настой взрослым и детям старше 14 лет по 1 стакану 1 раз в день во время еды. Продолжительность приема - 1 месяц. При необходимости прием БАД можно повторить. Противопоказания: индивидуальная непереносимость компонентов, беременность, кормление грудью. Перед применением проконсультироваться с врачом. Срок годности - 2 года. Хранить в сухом, защищенном от попадания прямых солнечных лучей, недоступном для детей месте, при температуре не выше +25°С. Готовый настой хранить в холодильнике не более двух суток",1,"индивидуальная непереносимость компонентов, беременность, кормление грудью",24.0,2018,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,сборы,1,1,Плоды укропа пахучего (Укроп пахучий - Anethum graveolens),1,168.0,1,,0,"Рекомендации по применению: 2 фильтр-пакета по 1,0 г или 1 фильтр-пакет (по 1,5 г, или 2,0 г или 2,5 г) или 1 чайную ложку россыпи (1,5-2,0 г) залить 1 стаканом (200 мл) кипятка, настоять в течение 10-15 минут, процедить, отжать, довести объем полученного настоя кипяченой водой до 200 мл. Принимать настой взрослым и детям старше 14 лет по 1 стакану 1 раз в день во время еды",1,1,30,плоды укропа пахучего,укроп пахучий,anethum graveolens,"фенольн, терпен","жкт, сердце","дети, 168, взрослые"
"биологически активная добавка к пище ""Мята, лист"" фиточай"" (фильтр-пакеты по 1,0 г 1,5 г, 2,0 г, 2,5 г, россыпь по 10 - 500 г)","ООО ""Грин Сайд"", 656905, Алтайский край, г. Барнаул, проезд Южный, д. 9, стр. Н-1, офис 8 (адрес производства: 656905, Алтайский край, г. Барнаул, проезд Южный, д. 9) (Российская Федерация)",RU.77.99.88.003.Е.003777.08.18 от 29.08.2018,"Принимать настой взрослым и детям старше 14 лет по 1/2 стакана 1 раз в день во время еды. Продолжительность приема - 1 месяц. При необходимости прием БАД можно повторить. Противопоказания: индивидуальная непереносимость компонентов, беременность, кормление грудью. Перед применением проконсультироваться с врачом. Срок годности - 2 года. Хранить в сухом, защищенном от попадания прямых солнечных лучей, недоступном для детей месте, при температуре не выше +25°С. Готовый настой хранить в холодильнике не более двух суток",1,"индивидуальная непереносимость компонентов, беременность, кормление грудью",24.0,2018,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,сборы,1,1,Листья мяты перечной (Мята перечная - Mentha piperita),1,168.0,1,,0,"Рекомендации по применению: 2 фильтр-пакета по 1,0 г или 1 фильтр-пакет (по 1,5 г, или 2,0 г или 2,5 г) или 1 чайную ложку россыпи (2,0 г) залить 1 стаканом (200 мл) кипятка, настоять в течение 10-15 минут, процедить, отжать, довести объем полученного настоя кипяченой водой до 200 мл. Принимать настой взрослым и детям старше 14 лет по 1/2 стакана 1 раз в день во время еды",1,1,30,лист мяты перечной,мята перечная,mentha piperita,"фенольн, терпен","нервная, жкт","дети, 168, взрослые"
"биологически активная добавка к пище ""ВИШКИ® Сила"" (""VISHKI® Energy"") (жевательные пастилки со вкусом банана или яблока или вишни и черной смородины или ""мультифрукт"" или без добавления ароматизатора) (пастилки массой 2,5, 3,0, 3,5 или 4,0 г ±10%)","ООО ""Полярис"", 183001, г. Мурманск, Рыбный порт, причал №1 (Российская Федерация)",RU.77.99.11.003.Е.003786.08.18 от 29.08.2018,"Продолжительность приема - 1 месяц. Противопоказания: индивидуальная непереносимость компонентов, нарушение углеводного обмена, повышенная чувствительность к продуктам пчеловодства. Перед применением рекомендуется проконсультироваться с врачом, перед применением БАД детьми рекомендуется проконсультироваться с врачом-педиатром. Срок годности - 24 месяца. Хранить в сухом, недоступном для детей месте при температуре не выше 25°С",1,"в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым и детям старше 7 лет по 1 пастилке 1 раз в день во время еды. Продолжительность приема - 1 месяц. Противопоказания: индивидуальная непереносимость компонентов, нарушение углеводного обмена, повышенная чувствительность к продуктам пчеловодства. Перед применением рекомендуется проконсультироваться с врачом, перед применением БАД детьми рекомендуется проконсультироваться с врачом-педиатром. Срок годности - 24 месяца. Хранить в сухом, недоступном для детей месте при температуре не выше 25°С",24.0,2018,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,твердое,1,0,,0,,1,,0,Рекомендации по применению: взрослым и детям старше 7 лет по 1 пастилке 1 раз в день во время еды,1,1,30,,,,вит,"нервная, иммунитет",взрослые
"биологически активная добавка к пище ""Магнебаланс"" (порошок по 20г, 25г, 30г, 50г, 75г)","ООО ""Алмаксфарм"", 446112, Самарская обл., г. Чапаевск, ул. 1-я Монтажная, д. 12 А, офис 1 (Российская Федерация)",RU.77.99.11.003.Е.003787.08.18 от 30.08.2018,"Принимать взрослым 1 раз в день во время еды. Продолжительность приема - 2 недели. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью, лицам до 18 лет, склонность к диарее. Срок годности - 4 года. Хранить в сухом, защищенном от попадания прямых солнечных лучей и недоступном для детей месте при температуре не выше +25°С. Перед применением рекомендуется проконсультироваться с врачом",1,"в соответствии с ТР ТС 022/2011. Рекомендации по применению: 1 чайную ложку порошка (4 г) растворить в стакане воды (200 мл). Принимать взрослым 1 раз в день во время еды. Продолжительность приема - 2 недели. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью, лицам до 18 лет, склонность к диарее. Срок годности - 4 года. Хранить в сухом, защищенном от попадания прямых солнечных лучей и недоступном для детей месте при температуре не выше +25°С. Перед применением рекомендуется проконсультироваться с врачом",48.0,2018,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,сыпучее,1,0,,0,,1,,0,Рекомендации по применению: 1 чайную ложку порошка (4 г) растворить в стакане воды (200 мл). Принимать взрослым 1 раз в день во время еды,4,1,120,,,,элементы,"нервная, сердце",взрослые
"биологически активная добавка к пище ""БиоАмикус лактобактерии в каплях"" (""BioAmicus Lactobacillus drops"") (жидкость по 5,10, 15 мл во флаконах с дозатором)","""BIOAMICUS LABORATORIES INC"", 136 Geary Avenue, Unit 216, Toronto, Ontario, M6H 4H1 (адрес производства: 3150, Dufferin st.,Unit 106, Toronto, Ontario M6A 2T1) (Канада)",RU.77.99.11.003.Е.003788.08.18 от 30.08.2018,"Принимать во время еды, накапав в ложку или добавив к молоку/смеси/кипяченой воде/любой пищи комнатной температуры. Избегать контакта дозатора с жидкостью, не давать непосредственно в рот. Перед употредлением хорошо взболтать. Добавлять к продуктам и блюдам комнатной температуры. Продолжительность приема - 30 дней. При необходимости прием можно повторить. Срок годности - 24 месяца. Хранить в заводской упаковке, в сухом, защищенном от прямых солнечных лучей, недоступном для детей месте при температуре не выше 25°С. Вскрытый флакон хранить при температуре (+2+8)°С не более 30 суток. Противопоказания: индивидуальная непереносимость компонентов. Перед применением рекомендуется проконсультироваться с врачом. Перед применением БАД детьми необходимо проконсультироваться с врачом-педиатром. Детям до 14 лет принимать БАД по согласованию и под наблюдением врача-педиатра",0,индивидуальная непереносимость компонентов,24.0,2018,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,жидкое,1,1,Lactobacillus reuteri (Lactobacillus reuteri - Lactobacillus reuteri),0,,1,,0,"Рекомендации по применению: для детей с 0 лет до 4-х лет по 5 капель (0,2 мл) 1 раз в сутки во время еды; детям старше 4-х лет и взрослым по 5 капель (0,2 мл) 2 раза в сутки во время еды. Принимать во время еды, накапав в ложку или добавив к молоку/смеси/кипяченой воде/любой пищи комнатной температуры. Избегать контакта дозатора с жидкостью, не давать непосредственно в рот. Перед употредлением хорошо взболтать. Добавлять к продуктам и блюдам комнатной температуры",5,1,150,lactobacillus reuteri,lactobacillus reuteri,lactobacillus reuteri,пробиотики,жкт,взрослые
"биологически активная добавка к пище ""КОРридж А"" (""CORrige A"") (драже массой 509 мг)","""MILAN Arzneimittel GmbH"", (Landstrasse 31, 38667, Bad Harzburg) (Гeрмания)",RU.77.99.88.003.Е.003809.08.18 от 31.08.2018,"Продолжительность приема - 2-3 недели. При необходимости прием можно повторить через месяц. Срок годности - 3 года. Хранить в защищенном от прямых солнечных лучей, недоступном для детей месте, при температуре не выше 25°С. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью, склонность к растройствам функции кишечника, повышенная нервная возбудимость, бессонница, повышенное артериальное давление, нарушение сердечной деятельности, выраженный атеросклероз, прием в вечернее время. Перед применением рекомендуется проконсультироваться с врачом",0,"в соответствии с требованиями ТР ТС 022/2011. Рекомендации по применению: взрослым принимать по 2 драже один раз в день во время обеда, запивая достаточным количеством жидкости. Продолжительность приема - 2-3 недели. При необходимости прием можно повторить через месяц. Срок годности - 3 года. Хранить в защищенном от прямых солнечных лучей, недоступном для детей месте, при температуре не выше 25°С. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью, склонность к растройствам функции кишечника, повышенная нервная возбудимость, бессонница, повышенное артериальное давление, нарушение сердечной деятельности, выраженный атеросклероз, прием в вечернее время. Перед применением рекомендуется проконсультироваться с врачом",36.0,2018,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,твердое,1,1,"Порошок шишек хмеля (Хмель обыкновенный - Humulus lupulus), порошок корня валерианы (Валериана лекарственная - Valeriana officinalis), порошок корня женьшеня (Женьшень настоящий - Panax ginseng), концентрат сафлора (Сафлор красильный - Carthamus tinctorius), концентрат спирулины (Спирулина - Arthrospira platensis)",0,,1,,0,"Рекомендации по применению: взрослым принимать по 2 драже один раз в день во время обеда, запивая достаточным количеством жидкости",2,1,60,"порошок шишек хмеля, порошок корня валерианы, порошок корня женьшеня, концентрат сафлора, концентрат спирулины","хмель обыкновенный, валериана лекарственная, женьшень настоящий, сафлор красильный, спирулина","humulus lupulus, valeriana officinalis, panax ginseng, carthamus tinctorius, arthrospira platensis","сапонины, ест",почки,взрослые
"биологически активной добавки к пище пище ""Л-аминокислоты 3600"" (""L-Carnitin 3600"") со вкусом цитруса (Citrus) или со вкусом красной ягоды (Red berry) торговой марки ""LifeLab"" (жидкость во флаконах по 25 мл, по 500 мл с мерными колпачками)","""Sanomed Gesundheits- und Sportnahrungsmittelherstellung GmbH"", Max-Eyth-Strasse 39 89231 Neu-Ulm (Гeрмания)",RU.77.99.11.003.Е.003818.09.18 от 03.09.2018,"Продолжительность приема - 1 месяц. Срок годности - 14 месяцев. Хранить в оригинальной закрытой упаковке при температуре не выше 25°С, в недоступном для детей месте. Вскрытый флакон (25) мл хранить в холодильнике не более 7 дней в укупоренном виде. Мерный колпачек промывать проточной водой и высушивать. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом",0,"в соответствии с требованиями ТР ТС 022/2011. Рекомендации по применению: взрослым по 6,25 мл (или 1/4 мерного колпачка) 1 раз в день во время еды, предварительно растворив в теплой воде или в других напитках. Продолжительность приема - 1 месяц. Срок годности - 14 месяцев. Хранить в оригинальной закрытой упаковке при температуре не выше 25°С, в недоступном для детей месте. Вскрытый флакон (25) мл хранить в холодильнике не более 7 дней в укупоренном виде. Мерный колпачек промывать проточной водой и высушивать. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом",14.0,2018,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,жидкое,1,0,,0,,1,,0,"Рекомендации по применению: взрослым по 6,25 мл (или 1/4 мерного колпачка) 1 раз в день во время еды, предварительно растворив в теплой воде или в других напитках",6,1,180,,,,аминокислоты,жкт,взрослые
"биологически активная добавка к пище ""Санфит Протеин Плюс - Ваниль"" (""Sunfit Protein Plus - Vanilla"") (порошок в банках по 680 г с мерной ложкой)","""Sunrider Manufacturing, L.P."", 1461 W. Francisco Street, Torrance, California 90501 (США)",RU.77.99.88.003.Е.003848.09.18 от 05.09.2018,"воды, принимать взрослым 1 раз в день во время еды. Продолжительность приема - 17 дней. При необходимости прием можно повторить. Срок годности - 2 года. Хранить в плотно закрытой банке, в сухом, недоступном для детей месте, при температуре не выше +25°С. Вскрытую банку хранить при тех же условиях. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность и кормление грудью. Перед применением рекомендуется проконсультироваться с врачом",0,"в соответствии с ТР ТС 022/2011. Рекомендации по применению: 2 мерные ложки (40 г) продукта размешать в 0,35-0,47 л. воды, принимать взрослым 1 раз в день во время еды. Продолжительность приема - 17 дней. При необходимости прием можно повторить. Срок годности - 2 года. Хранить в плотно закрытой банке, в сухом, недоступном для детей месте, при температуре не выше +25°С. Вскрытую банку хранить при тех же условиях. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность и кормление грудью. Перед применением рекомендуется проконсультироваться с врачом",24.0,2018,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,сыпучее,1,1,"Белок гороха (Горох посевной - Pisum sativum), белок риса (Рис посевной - Oryza sativa), плоды бусенника обыкновенного (Бусенник обыкновенный - Coix lacryma-jobi), перловая крупа (Ячмень обыкновенный - Hordeum vulgare), корень цикория (Цикорий обыкновенный - Cichorium intybus), волокна бамбука (Бамбук обыкновенный - Bambusa vulgaris), овсяная мука (Овёс посевной - Avena sativa), семена эвриалы устрашающей (Эвриала устрашающая - Euryale ferox), семена лотоса орехоносного (Лотос орехоносный - Nelumbo nucifera), корни лотоса орехоносного (Лотос орехоносный - Nelumbo nucifera), луковицы лилии брауна (Лилия брауна - Lilium brownii), корни императы цилиндрической (Императа цилиндрическая - Imperata cylindrica)",0,,1,,0,"Рекомендации по применению: 2 мерные ложки (40 г) продукта размешать в 0,35-0,47 л. воды, принимать взрослым 1 раз в день во время еды",40,1,1200,"белок гороха, белок риса, плоды бусенника обыкновенного, перловая крупа, корень цикория, волокна бамбука, овсяная мука, семя эвриалы устрашающей, семя лотоса орехоносного, корни лотоса орехоносного, луковицы лилии брауна, корни императы цилиндрической","горох посевной, рис посевной, бусенник обыкновенный, ячмень обыкновенный, цикорий обыкновенный, бамбук обыкновенный, овёс посевной, эвриала устрашающая, лотос орехоносный, лотос орехоносный, лилия брауна, императа цилиндрическая","pisum sativum, oryza sativa, coix lacryma-jobi, hordeum vulgare, cichorium intybus, bambusa vulgaris, avena sativa, euryale ferox, nelumbo nucifera, nelumbo nucifera, lilium brownii, imperata cylindrica","элементы, аминокислоты, полисахариды",жкт,взрослые
"биологически активная добавка к пище ""Бифидум БАГ - жидкий концентрат бифидобактерий"" (жидкость во флаконах до 100 мл)","АО ""Вектор-БиАльгам"", 630559, Новосибирская обл., рабочий поселок Кольцово, Научно-производственная зона, корпус 104, кабинет 201 (адрес производства: 630559, Новосибирская обл., рабочий поселок Кольцово, ул. Центральная, здание 13а) (Российская Федерация)",RU.77.99.11.003.Е.003870.09.18 от 05.09.2018,"Перед употреблением флакон встряхнуть. Продолжительность приема - 14- 21 день. Срок годности - 3 месяца в невскрытой заводской упаковке. Хранить в холодильнике при температуре 4±2°С, повышение температуры хранения не допускается. Противопоказания: индивидуальная непереносимость компонентов продукта.Перед применением рекомендуется проконсультироваться с врачом, перед применением БАД детьми необходимо проконсультироваться с врачом-педиатром. Детям до 3-х лет принимать БАД по согласованию и под наблюдением врача-педиатра",1,"в соответствии с ТР ТС 022/2011.Рекомендации по применению: детям до года - 1 мл в день, от 1 года до 12 лет - по 1-3 мл в день, детям с 12 лет и взрослым - по 3-5 мл в день. Перед употреблением флакон встряхнуть. Продолжительность приема - 14- 21 день. Срок годности - 3 месяца в невскрытой заводской упаковке. Хранить в холодильнике при температуре 4±2°С, повышение температуры хранения не допускается. Противопоказания: индивидуальная непереносимость компонентов продукта.Перед применением рекомендуется проконсультироваться с врачом, перед применением БАД детьми необходимо проконсультироваться с врачом-педиатром. Детям до 3-х лет принимать БАД по согласованию и под наблюдением врача-педиатра",3.0,2018,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,жидкое,1,1,"Бифидобактерии bifidobacterium bifidum, bifidobacterium longum",0,,1,,0,"Рекомендации по применению: детям до года - 1 мл в день, от 1 года до 12 лет - по 1-3 мл в день, детям с 12 лет и взрослым - по 3-5 мл в день. Перед употреблением флакон встряхнуть",3,1,90,"бифидобактерии bifidobacterium bifidum, bifidobacterium longum",,,пробиотики,жкт,взрослые
"биологически активная добавка к пище ""Экофлор"" (пакетики по 5 г)","АО ""Вектор-БиАльгам"", 630559, Новосибирская обл., рабочий поселок Кольцово, Научно-производственная зона, корпус 104, кабинет 201 (адрес производства: 630559, Новосибирская обл., рабочий поселок Кольцово, ул. Центральная, здание 13а) (Российская Федерация)",RU.77.99.29.003.Е.003872.09.18 от 05.09.2018,"Продолжительность приёма - 10-14 дней. Срок годности - 1 год. Хранить в сухом, защищённом от света, недоступном для детей месте при температуре не выше +10°С. Противопоказания: индивидуальная непереносимость компонентов, язвенные поражения желудочно-кишечного тракта в фазе обострения. Перед применением рекомендуется проконсультироваться с врачом, перед применением БАД детьми необходимо проконсультироваться с врачом-педиатром. Детям до 10 лет принимать по согласованию с врачом-педиатром",1,"в соответствии с ТР ТС 022/2011. Рекомендации по применению: детям 3-5 лет по 2,5 г (0,5 пакетика) 2 раза в день, детям 5-10 лет по 5,0 г (1 пакетик) 2 раза в день; детям старше 10 лет и взрослым по 5,0 г (1 пакетик) 3 раза в день, принимать за 10-15 минут до еды, предварительно смочив порошок водой. Продолжительность приёма - 10-14 дней. Срок годности - 1 год. Хранить в сухом, защищённом от света, недоступном для детей месте при температуре не выше +10°С. Противопоказания: индивидуальная непереносимость компонентов, язвенные поражения желудочно-кишечного тракта в фазе обострения. Перед применением рекомендуется проконсультироваться с врачом, перед применением БАД детьми необходимо проконсультироваться с врачом-педиатром. Детям до 10 лет принимать по согласованию с врачом-педиатром",12.0,2018,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,сыпучее,1,1,"Бифидобактерии видов B. bifidum и B. longum и лактобактерии видов L. acidophilus, L. casei, L. plantarum, энтеросорбент.",0,,1,,0,"Рекомендации по применению: детям 3-5 лет по 2,5 г (0,5 пакетика) 2 раза в день, детям 5-10 лет по 5,0 г (1 пакетик) 2 раза в день; детям старше 10 лет и взрослым по 5,0 г (1 пакетик) 3 раза в день, принимать за 10-15 минут до еды, предварительно смочив порошок водой",2,2,120,"бифидобактерии видов b. bifidum и b. longum и лактобактерии видов l. acidophilus, l. casei, l. plantarum, энтеросорбент",,,пробиотики,жкт,взрослые
"биологически активная добавка к пище ""Аскорбиновая кислота Уралбиофарм"" (драже 0,25 г)","ОАО ""Уралбиофарм"", 620039, г. Екатеринбург, ул. Машиностроителей, 31 а (адрес призводства: 620026, г. Екатеринбург, ул Куйбышева, 60) (Российская Федерация)",RU.77.99.11.003.Е.003892.09.18 от 06.09.2018,"Срок годности - 24 месяца. Хранить в сухом, защищённом от света и недоступном для детей месте, при температуре не выше +25°С. Противопоказания: индивидуальная непереносимость компонентов продукта. При сахарном диабете принимать с осторожностью. Перед применением рекомендуется проконсультироваться с врачом, перед применением БАД детьми рекомендуется проконсультироваться с врачом-педиатром",1,"в соответствии с ТР ТС 022/2011. Рекомендации по применению: детям 3 - 11 лет по 1 драже в день, детям старше 11 лет, подросткам и взрослым по 1 драже 2 раза в день во время еды. Срок годности - 24 месяца. Хранить в сухом, защищённом от света и недоступном для детей месте, при температуре не выше +25°С. Противопоказания: индивидуальная непереносимость компонентов продукта. При сахарном диабете принимать с осторожностью. Перед применением рекомендуется проконсультироваться с врачом, перед применением БАД детьми рекомендуется проконсультироваться с врачом-педиатром",24.0,2018,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,твердое,,0,,0,,1,,0,"Рекомендации по применению: детям 3 - 11 лет по 1 драже в день, детям старше 11 лет, подросткам и взрослым по 1 драже 2 раза в день во время еды.",1,2,,,,,вит,иммунитет,взрослые
"биологически активная добавка к пище ""Рыбий жир Renewal®"" (капсулы массой 700 мг для реализации намикроэлементыию, в упаковке ""in bulk"" - для последующей расфасовки)","ООО ""Полярис"", 183001, г. Мурманск, Рыбный порт, причал №1; АО ""ПФК Обновление"", 633621, Новосибирская обл., Сузунский р-н, рп. Сузун, ул. Комиссара Зятькова, д. 18 (адрес производства: 630096, г. Новосибирск, ул. Станционная, д. 80) (Российская Федерация)",RU.77.99.11.003.Е.003946.09.18 от 11.09.2018,"Продолжительность приема - 1 месяц. При необходимости прием можно повторить 3-4 раза в год. Противопоказания: индивидуальная непереносимость компонентов продукта, хронический холецистит, панкреатит в период обострения. Перед применением рекомендуется проконсультироваться с врачом. При применении БАД детьми рекомендуется проконсультироваться с врачом-педиатром. Срок годности - 2 года. Хранить в оригинальной упаковке в недоступном для детей месте при температуре от 5 до 25°С и относительной влажности воздуха не более 70%; продукт в упаковке ""in bulk"" хранить: в защищенном от света месте при температуре от 5 до 25°С и относительной влажности воздуха не более 70%. Продукт в упаковке ""in bulk"" предназначен для последующей расфасовки, не подлежит розничной продаже намикроэлементыию",1,"в соответствии с ТР ТС 022/2011. Рекомендации по применению: детям старше 7 лет и взрослым, в том числе женщинам, планирующим беременность, беременным и кормящим грудью, по 2 капсулы 3 раза в день во время еды, запивая 1/2-1 стаканом воды. Продолжительность приема - 1 месяц. При необходимости прием можно повторить 3-4 раза в год. Противопоказания: индивидуальная непереносимость компонентов продукта, хронический холецистит, панкреатит в период обострения. Перед применением рекомендуется проконсультироваться с врачом. При применении БАД детьми рекомендуется проконсультироваться с врачом-педиатром. Срок годности - 2 года. Хранить в оригинальной упаковке в недоступном для детей месте при температуре от 5 до 25°С и относительной влажности воздуха не более 70%; продукт в упаковке ""in bulk"" хранить: в защищенном от света месте при температуре от 5 до 25°С и относительной влажности воздуха не более 70%. Продукт в упаковке ""in bulk"" предназначен для последующей расфасовки, не подлежит розничной продаже намикроэлементыию",24.0,2018,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,твердое,1,1,Рыбий жир (Треска атлантическая - Gadus morhua),1,84.0,1,женщины,0,"Рекомендации по применению: детям старше 7 лет и взрослым, в том числе женщинам, планирующим беременность, беременным и кормящим грудью, по 2 капсулы 3 раза в день во время еды, запивая 1/2-1 стаканом воды",2,3,180,рыбий жир,треска атлантическая,gadus morhua,пнжк,"суставы, иммунитет, кожа, глаза, сердце","дети, 84, взрослые, женщины"
"биологически активная добавка к пище ""ПРОЛАКТА бифида. Культуры микроорганизмов пробиотических"" (капсулы по 0,5 г)","""UAS Laboratories, LLC"", 555 North 72nd Ave. Wausau, WI 54401, USA (США) для ""GM Phrmaceuticals Ltd"", 65, Vil.Ponichala 0165 Tbilisi, Georgia (Грузия)",RU.77.99.88.003.Е.003971.09.18 от 12.09.2018,"Продолжительность приема 1 месяц. При необходимости прием можно повторить. Срок годности - 2 года. Хранить в сухом, защищенном от попадания прямых солнечных лучей и недоступном для детей месте при температуре не выше 25 °С. Противопоказания: индивидуальная непереносимость компонентов БАД. Перед применением рекомендуется проконсультироваться с врачом. Перед применением БАД детьми рекомендуется проконсультироваться с врачом-педиатром",0,индивидуальная непереносимость компонентов ,24.0,2018,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,твердое,1,1,"Смесь пробиотиков: Lactobacillus Acidophilus, Bifidobacterium Bifidum, Bifidobacterium Longum, Bifidobacterium Lactis",0,,1,,0,Рекомендации по применению: взрослым и детям старше 7 лет принимать по 1 капсуле в день за 20 минут до еды,1,1,30,"смесь пробиотиков: lactobacillus acidophilus, bifidobacterium bifidum, bifidobacterium longum, bifidobacterium lactis",,,пробиотики,жкт,взрослые
